ecoli_pa
Present
Present
Absent
Absent
Absent
Absent
Absent
Present
Present
Absent
Absent
Present
Present
Absent
Present
Present
Absent
Present
Present
Absent
Absent
Present
Present
Present
Present
Present
Present
Absent
Absent
Present
Absent
Present
Present
Absent
Absent
Present
Present
Present
Present
Absent
Absent
Absent
Absent
Present
Present
Present
Present
Present
Present
Absent
Present
Absent
Absent
Present
Present
Absent
Present
Present
Absent
Absent
Absent
Present
Absent
Absent
Absent
Absent
Present
Absent
Absent
Present
Present
Present
Present
Present
Absent
Absent
Absent
Present
Present
Absent
Present
Absent
Absent
Absent
Absent
Absent
Present
Present
Absent
Present
Absent
Present
Present
Present
Present
Present
Present
Present
Present
Absent
Present
Absent
Present
Present
Absent
Present
Present
Absent
Present
Present
Present
Present
Present
Present
Absent
Absent
Absent
Absent
Present
Absent
Absent
Absent
Absent
Present
Present
Present
Absent
Absent
Present
Absent
Present
Absent
Absent
Present
Absent
Absent
Absent
Absent
Absent
Present
Present
Present
Absent
Absent
Absent
Present
Present
Present
Absent
Absent
Present
Present
Present
Present
Present
Absent
Present
Present
Present
Present
Present
Absent
Present
Present
Absent
Absent
Present
Present
Present
Present
Present
Present
Absent
Absent
Present
Present
Absent
Absent
Absent
Absent
Absent
Absent
Absent
Absent
Absent
Present
Present
Absent
Present
Absent
Absent
Present
Present
Present
Absent
Absent
Absent
Present
Absent
Absent
Present
Present
Absent
Absent
Absent
Absent
Present
Present
Absent
Present
Absent
Absent
Present
Absent
Present
Absent
Present
Absent
Absent
Absent
Absent
Absent
Present
Absent
Present
Absent
Present
Absent
Present
Absent
Absent
Absent
Absent
Present
Present
Present
Present
Absent
Absent
